Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Year,Month,Day,Hour,Day_of_Week,Is_Weekend,Avg_Number_of_Riders,Avg_Historical_Cost_of_Ride,Lag_Number_of_Riders,Lag_Historical_Cost_of_Ride
90,45,Urban,Silver,13,4.47,2024-10-21 21:00:00,Premium,90,284.25727302188227,2024,10,21,21,0,0,,,,
58,39,Suburban,Silver,72,4.06,2024-10-21 18:00:00,Economy,43,173.87475274940766,2024,10,21,18,0,0,,,90.0,284.25727302188227
42,31,Rural,Silver,0,3.99,2024-10-21 14:00:00,Premium,76,329.7954689622466,2024,10,21,14,0,0,,,58.0,173.87475274940766
89,28,Rural,Regular,67,4.31,2024-10-21 14:00:00,Premium,134,470.2012317513198,2024,10,21,14,0,0,,,42.0,329.7954689622466
78,22,Rural,Regular,74,3.77,2024-10-21 14:00:00,Economy,149,579.6814223640141,2024,10,21,14,0,0,,,89.0,470.2012317513198
59,35,Urban,Silver,83,3.51,2024-10-21 21:00:00,Economy,128,339.9553606047221,2024,10,21,21,0,0,,,78.0,579.6814223640141
93,43,Suburban,Regular,44,4.41,2024-10-21 14:00:00,Premium,16,104.06154127359152,2024,10,21,14,0,0,72.71428571428571,,59.0,339.9553606047221
62,39,Rural,Gold,83,3.59,2024-10-21 14:00:00,Premium,47,235.81186355605,2024,10,21,14,0,0,68.71428571428571,,93.0,104.06154127359152
79,14,Rural,Silver,71,3.74,2024-10-21 18:00:00,Economy,128,501.4125174833056,2024,10,21,18,0,0,71.71428571428571,,62.0,235.81186355605
42,6,Rural,Silver,21,3.85,2024-10-21 21:00:00,Premium,128,398.9933645706103,2024,10,21,21,0,0,71.71428571428571,,79.0,501.4125174833056
86,17,Urban,Regular,99,4.69,2024-10-21 09:00:00,Economy,167,669.2986264658781,2024,10,21,9,0,0,71.28571428571429,,42.0,398.9933645706103
60,38,Rural,Gold,15,4.14,2024-10-21 18:00:00,Premium,144,414.9901047325251,2024,10,21,18,0,0,68.71428571428571,,86.0,669.2986264658781
24,8,Rural,Gold,50,4.12,2024-10-21 09:00:00,Economy,164,490.41072171830416,2024,10,21,9,0,0,63.714285714285715,,60.0,414.9901047325251
36,24,Suburban,Silver,88,4.22,2024-10-21 21:00:00,Premium,83,296.24287599192223,2024,10,21,21,0,0,55.57142857142857,,24.0,490.41072171830416
63,13,Rural,Regular,74,4.95,2024-10-21 14:00:00,Premium,102,327.0888648717375,2024,10,21,14,0,0,55.714285714285715,,36.0,296.24287599192223
39,12,Urban,Silver,30,4.51,2024-10-21 14:00:00,Premium,140,445.1368684239125,2024,10,21,14,0,0,50.0,,63.0,327.0888648717375
38,28,Rural,Silver,35,3.93,2024-10-21 14:00:00,Premium,54,244.5361718306458,2024,10,21,14,0,0,49.42857142857143,,39.0,445.1368684239125
46,14,Suburban,Silver,21,4.71,2024-10-21 14:00:00,Economy,15,47.31430863361691,2024,10,21,14,0,0,43.714285714285715,,38.0,244.5361718306458
33,7,Suburban,Gold,49,4.31,2024-10-21 18:00:00,Premium,22,129.8082629093964,2024,10,21,18,0,0,39.857142857142854,,46.0,47.31430863361691
31,7,Suburban,Silver,24,4.82,2024-10-21 18:00:00,Premium,87,382.9481103198511,2024,10,21,18,0,0,40.857142857142854,,33.0,129.8082629093964
96,45,Urban,Regular,6,4.95,2024-10-21 14:00:00,Premium,11,82.77279318243978,2024,10,21,14,0,0,49.42857142857143,,31.0,382.9481103198511
22,11,Suburban,Silver,79,4.48,2024-10-21 21:00:00,Economy,15,64.07117255500656,2024,10,21,21,0,0,43.57142857142857,,96.0,82.77279318243978
74,16,Rural,Regular,6,3.97,2024-10-21 09:00:00,Economy,139,390.6687658288554,2024,10,21,9,0,0,48.57142857142857,,22.0,64.07117255500656
24,12,Urban,Regular,10,3.6,2024-10-21 18:00:00,Premium,45,212.16652497375452,2024,10,21,18,0,0,46.57142857142857,,74.0,390.6687658288554
48,19,Suburban,Gold,72,3.81,2024-10-21 21:00:00,Premium,65,235.65813370551408,2024,10,21,21,0,0,46.857142857142854,,24.0,212.16652497375452
56,13,Rural,Regular,36,4.81,2024-10-21 18:00:00,Economy,162,406.5574980533908,2024,10,21,18,0,0,50.142857142857146,,48.0,235.65813370551408
72,33,Rural,Gold,66,4.39,2024-10-21 09:00:00,Premium,30,182.4744270596517,2024,10,21,9,0,0,56.0,,56.0,406.5574980533908
97,75,Urban,Silver,76,4.7,2024-10-21 21:00:00,Economy,158,652.617297300081,2024,10,21,21,0,0,56.142857142857146,,72.0,182.4744270596517
62,33,Suburban,Regular,39,3.91,2024-10-21 18:00:00,Premium,129,403.22709836941993,2024,10,21,18,0,0,61.857142857142854,,97.0,652.617297300081
57,38,Suburban,Silver,54,4.1,2024-10-21 21:00:00,Premium,131,537.7848594528473,2024,10,21,21,0,0,59.42857142857143,334.4606094238634,62.0,403.22709836941993
25,7,Suburban,Silver,13,3.99,2024-10-21 09:00:00,Premium,81,286.13145256368455,2024,10,21,9,0,0,59.57142857142857,334.5230820752568,57.0,537.7848594528473
75,56,Suburban,Gold,94,4.79,2024-10-21 18:00:00,Premium,153,485.0546633356366,2024,10,21,18,0,0,63.42857142857143,344.89574576146435,25.0,286.13145256368455
39,9,Urban,Gold,39,4.64,2024-10-21 14:00:00,Premium,48,171.0859835160851,2024,10,21,14,0,0,61.0,339.6054295799257,75.0,485.0546633356366
35,24,Suburban,Gold,73,3.76,2024-10-21 18:00:00,Premium,105,485.8784537318511,2024,10,21,18,0,0,55.714285714285715,340.12800364594335,39.0,171.0859835160851
68,32,Suburban,Regular,34,3.58,2024-10-21 09:00:00,Economy,77,294.7328864777875,2024,10,21,9,0,0,51.57142857142857,330.6297191164025,35.0,485.8784537318511
96,43,Rural,Silver,97,3.68,2024-10-21 09:00:00,Premium,91,392.83872040801793,2024,10,21,9,0,0,56.42857142857143,332.39249777651236,68.0,294.7328864777875
28,11,Suburban,Gold,52,4.33,2024-10-21 14:00:00,Premium,94,456.1809467866996,2024,10,21,14,0,0,52.285714285714285,344.12981129361594,96.0,392.83872040801793
